head-word,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,modern-spelling,part-of-speech,references,reference-link,annotation-id,synonym-in-glossary,antonym-in-glossary,see-also-in-glossary,questions-observations-examples-references,folio,entry-id,entry-heading,editorial-comment,editors-notes,uncertain
Linge,,,"linen, linen cloth",,,n.(m),,,,,,,,,,,,,
Lisable,,,legible,,lisible,adj.,,,,,,,,,,,,,
Liste,,,"roll or strip of fabric, band",,,n.(f),COT1611 | DMF2015,,,,,,,23r–v,,,,,
Litharge,litarge,,litharge (white pigment containing lead),,,n.(f),DMF2015 | OED2008,,ann_036_sp_16,,,,,,,,,,
Livide,,,bleak,,,adj.,COT1611,,,,,,,,p058_3,,,,
Livre,,,livre (any of a number of coins or units of account used in France),,,n.(f),,,,,,,,,,,,,
Livre,,,book,,,n.(m),,,,,,,,,,,,,
Livre de raison,livre de raisons,,account book (a ledger),,,n.(m),lemarchand2015,https://books.google.fr/books?id=9Oc1XqDcjXIC&pg=PA97&lpg=PA97&dq=%22livre+de+raison%22+%22ledger%22&source=bl&ots=pDfc6vrfvC&sig=6TCFt6vlMwUZOjaroOObYrQTpaE&hl=fr&sa=X&ved=0ahUKEwjEl-rWjYrcAhWHZ1AKHRQ_BpAQ6AEIKDAA#v=onepage&q=%22livre%20de%20raison%22%20%22ledger%22&f=false | https://books.google.fr/books?id=K49PDAAAQBAJ&pg=RA1-PA619&lpg=RA1-PA619&dq=%22livre+de+raison%22+%22ledger%22&source=bl&ots=ytfFNh1vYJ&sig=mjVH9zMG7Y6X-tP5TWeV7hHAFzI&hl=fr&sa=X&ved=0ahUKEwjEl-rWjYrcAhWHZ1AKHRQ_BpAQ6AEIODAD#v=onepage&q=%22livre%20de%20raison%22%20%22ledger%22&f=false,,livre maige,,,,,,,,,
Livre maige,,,ledger,,grand livre,n.(m),,,,livre de raison,,,,,,,,,
Longuet,,,longish,,,adj.,,,,,,,,,,,,,
Loppe,,,"loop (mass of raw iron from the smelting furnace, also called ""bloom"")",,,n.(f),,,,,,,,,,,,,
Loppin,,,piece,,lopin,n.(m),DAF2018,,,,,,,,,,,,
Lumbris,,,earthworm,,lombric,n.(m),magnus2019,https://gallica.bnf.fr/ark:/12148/bpt6k97691521/f57.item.r=%22lumbris%22,,,,,,,p055v_2,,,,
Lumiere,,1,light,,lumière,n.(f),,,,,,,,,,,,,
Lumiere,,2,touch-hole (of hand-held firearms),,lumière,n.(f),,,,,,,,,,,,,
Lumiere,,3,fuse (larger guns),,lumière,n.(f),,,,,,,,,,,,,
Lumiere,,4,sight (for aiming a gun),,lumière,n.(f),,,,,,,,,,,,,
Lumignon,,,wick,,,n.(m),,,,,,,,,,,,,
Lut,luth,,"lute (clay or cement composed of various ingredients, and used to stop a hole, coat vessels to protect them from the fire or seal a joint between pieces of apparatus e.g. for distillation)",,,n.(m),OED2008,,,,,,,052r,,,,,
Luter,,,to lute (cover the outside of the vessel with lute to seal and protect the vessel from the heat),,,v.,OED2008,,,,,,,,,,,,
Mache de fer,,,iron dross,,mâchefer,n.(f),,,,,,,,"83r, 84v, 85r, 86v, 90r, 97v",,,,,
Machouere,,,jaw,,mâchoire,n.(f),,,,,,,,122r,,,,,
Madreures,,,streaks (of wood),,madrures,n.(f),,,,,,bois madré,,p071r,,,,,
"Magistra, eau",magistre,,liquid binder used in sand molding,,,n.(f),,,,,,,,"84v, 87v",,,,,
Maigre,,,"lean (sand, earth etc.), ",,,adj.,COT1611,,,,gras,,,,,,,,
Mail,,,mallet,,,n.(m),COT1611,,,,,,,,,,,,
Main,,1,hand,,,n.(f),,,,,,,,,,,,,
Main,,2,"coat (of paint, varnish, or plaster)",,,n.(f),,,,,,,,"29v, 42v, 60r, 60v, 81r",,,,,
Maistre juré,,,sworn master (of a trade),,Maître juré,n.(m),,,,,,,,,,,,,
Mal caduc,,,falling sickness,,,n.(m),DMF2015,,,,,,,,p046r_3,,,,
Malaisé,,,"awkward, difficult, troublesome, clumsy",,,adj.,,,,,,,,,,,,,
Manche,,,sleeve,,,n.(f),COT1611,,,,,,,81v,,,,,
Manche,,,handle,,,n.(m),,,,,,,,,,,,,
Mandore,mandorre | mandorle,,"mandore (small stringed musical instrument). The derivative <i>mandorle</i> could also refer more generally to the shape of an almond, a term used in Vasari to describe certain ornamental motifs.",Italian,mandore,n.(f),COT1611 | OED2008 | vasari1966,,,,,,,,,,,,
Maniable,,,handleable,,,adj.,,,,,,manier,,,,,,,
Manier,,,to handle,,,v.,,,,,,maniable,,,,,,,
Maniere,,,manner (of doing sth),,manière,n.(f),,,,,,,,,,,,,
Marbre,mabre,,"marble, ""sur le marbre"" used to mean ""on the marble slab,"" e.g., of grinding",,marbre,n.(m),,,,,,,,,,,,,
Marchasite,,,"marcasite (bronze-yellow mineral consisting of iron disulphide, also known as pyrite. Bernard Palissy (c. 1510-c.1590) defines marcasites as imperfect metals, sometimes formed in a square fashion, like dice)",,marcassite,n.(f),OED2008 | palissy1580,,,,,,,,,,,,
Marche,,,pedal (of a loom),,,n.(f),DAF2018,,,,,,,,p044v_1,,,,
Mareschal,mareschaulx (pl.),,farrier,,maréchal,n.(m),COT1611,,,,,,,,p094v_1,,,,
Marqueté,,,inlaid,,,adj.,COT1611,,,,,,,,p015v_1,,,,
Marroquin,,,Morocco (Spanish goat leather),,maroquin,n.(m),,,,,,,,,,,,,
Martine,martinet,,trip hammer,,martinet,n.(m),DAF2018,,,,,,,149r,,,,,
Maslée,,,"Meaning uncertain, could refer to the ""cascabel,"" the projection behind the breech of a muzzle-loading cannon",,,n.(f),,,,,,,,p019r,,,,,x
Masselote,,,Excess reserve of liquid metal for filling a mold,,machelotte,n.(f),TLFi2019,,,,,,,,,,,,
Massicot,,,"a yellow pigment ( the word ""massicot"" today refers to a pale yellow lead monoxide; in earlier times it could refer to lead-tin oxide)",,,n.(m),COT1611 | DMF2015 | kirby2010,,,,,,,,,,,,
Mastic,,,mastic,,,n.(m),,,,,,,,,,,,,
Matiere,,,"substance, material, matter",,,n.(f),,,,,,,,8v,,,,,
Mattelas,matras,,matrass (long-necked glass vessel),,mattelas,n.(m),COT1611,,,,,,,,,,,,
Matton,,,large brick for paving,Italian,,n.(m),,,,,,amatonner,,,,,,,
Mectre,,,to put,,mettre,v.,,,,,,,,,,,,,
Mectre en besoigne,besogne,,to put to use,,mettre,v.,,,,mectre en oeuvre,,,,,,,,,
Mectre en oeuvre,,1,to put to use,,mettre,v.,,,,mectre en besoigne,,,,"49r 63r, 68r, 72v, 84r, 106v",,,,,
Mectre en oeuvre,,2,to mount (e.g. jewellery),,mettre,v.,,,,,,,,"15v, 38r",,,,,
Medaille,,,medal (including coins),,médaille,n.(f),,,,,,,,"122v, 170r",,,,,
Médiocrement,,,moderately,,,adv.,COT1611,,,,,,,,,,,,
Membrure,,,a piece of wood,,,n.(f),DMF2015,,,,,,,,,,,,
Mener,,,to drive (hammering metal),,,v.,COT1611,,,,,,,,p032r_1,,,,
"Menu, compte par le",,,retail account,,,n.(m),COT1611,,,,,,,,,,,,
"Menu, par le",,,by retail,,,n.(m),COT1611,,,,,,,9r 38v,,,,,
Mericoton,,,"possibly a wild peach, <i>Prunus persica</i> var. <i>persica Batsch</i>. Peaches in general are called pesches in Fr. 640. This is a big yellow peach also known as “Pavie” in mod. Fr. Often just called peach in English today (vs ""melicotony"" in the 18th c.)",,mirlicoton,n.(m),,,,,,,,,,,,,
Mesler,meller,,to mix,,mêler,v.,,,,,,,,,,,,,
Metal,metail,1,metal (in general),,métal,n.(m),,,,,,,,,,,,,
Metal,,2,"a specific variety of copper alloy, in Ms. Fr. 640, used in bells and petards, among other works",,métal,n.(m),DMF2015,,,,,,,,,,,,
Metalline,,,Meaning uncertain. It seems to refer to an additive which makes tin look like silver,,,n.(f),,,,,,,,"115v, 129r",,,,,x
"Metaulx, grands",,,"great metals (unclear which metals this refers to:  on fol. 32v, the author-practitioner lists gold, silver, copper, latten, and iron, but on fol. 134v writes of the casting of gold, and on fol. 156r, of lead “and the other great metals"").",,métaux,n.(mpl),,,,,,,,86v,,,,,
Mie de pain,,,bread pith (the inner part of a loaf),,,n.(f),,,,miette,,esmier,,,,,,,
Miel rosat,,,rose honey,,,n.(m),COT1611,,,,,,,,,,,,
Miette,,,"crumb, bread pith",,,n.(f),,,,mie,,,, 140v,,,,,
Millet,mil,,"millet (a variety of common barley, of which a very coarse bread is made, especially in the South of France)",,,n.(m),littre1873 | porteres1960,http://www.persee.fr/doc/jatba_0021-7662_1958_num_5_1_2452,,,,,,,,,,,
Mine,,1,measure of grain and dry goods between 110-120 English pounds or half a setier,,,n.(f),COT1611 | DMF2015 ,,,,,,,,,,,,
Mine,,2,measure of land,,,n.(f),COT1611 ,,,,,,,,,,,,
Mine,,3,"mine, source, quarry, or cave dug in the ground",,,n.(f),COT1611 | DMF2015 ,,,,,,,,,,,,
Mine,,4,vein of metal,,,n.(f),COT1611 ,,,,,,,,,,,,
Mine,,5,"ore, mineral, mineral specimen",,,n.(f),DMF2015 ,,,,,,,,,,,,
Mine,,6,"minium (red pigment, usually lead-based)",,,n.(m),DMF2015,,ann_041_sp_16,minium,,,,,,,,,
Mine de plomb,,,"Possibly a variety of minium, or a lead ore",,,n.(f),,,,,,,,,,,,,
Mineron,,,"miner (mine worker, smelter)",,,n.(m),dietrich1786 | renaudot1666,https://books.google.fr/books?id=zYBlAAAAcAAJ&pg=PA191&dq=%22les+minerons%22&hl=fr&sa=X&ved=0ahUKEwjp_8q5mYXcAhVEPxQKHV8RDXwQ6AEIKjAA#v=onepage&q=%22les%20minerons%22&f=false | https://books.google.fr/books?id=HKcTAAAAQAAJ&pg=PA429&dq=%22les+minerons%22&hl=fr&sa=X&ved=0ahUKEwjp_8q5mYXcAhVEPxQKHV8RDXwQ6AEIVTAI#v=onepage&q=%22les%20minerons%22&f=false,,,,,,,,,,,
Minium,,,minium (red pigment containing lead),,,n.(m),,,,mine,,,,,,,,,
Mire,,,gun-sight,,,n.(f),,,,,,,,,,,,,
Mirer,,,to aim,,,v.,COT1611,,,,,,,,,,,,
Mirouer,,,mirror,,miroir,n.(m),COT1611,,,,,estaim de glace,,,,,,,
Mitraille,,,debris (in particular of brass and copper),,,n.(f),lespinasse1886,,,,,,,,,,,,
Mixtion,mistion,,"mixture, mix",,,n.(f),,,,,,,,,,,,,
Modelle,,,model,,modèle,n.(m),,,,,,,,,,,,,
Molée, moulée | moullée,,the grindings from sharpening (powder made up of stone and metal particles left over from sharpening metal tools on a whetstone),,,,DMF2015,,,,,moulée,,,,,,"TT: should this be ""grounds"" rather than ""grindings""? Grindings in the sense of leftover dust is not in the OED2008",
Molettes,,,pincers (i.e. a pair of pincers used as a tool),,,n.(fpl),COT1611,,,,,,,129v,,,,,
Moller,mollir,,"to soften, to make pliant",,mouler,v.,COT1611,,,,,,,,,,,,
Mollesin,,,"soft, delicate",,,adj.,godefroy1971 | TLFi2019,,,,,,,,,,,,
Monceau,,,mound,,,n.(m),,,,,,,,,,,,,
Montre,monstre,,"example, specimen",,,n.(f),COT1611,,,,,,,,p118r_a3,,,,
Mordre,,,to bite,,,v.,,,,,,,,,,,,,
Moresque,,,"Meaning uncertain, but likely a ""moresque"" ornament, imitating Ottoman fabrics. By itself, the word is used for forms found in ornament and decoration in the applied arts in Europe. In early seventeenth-century English, it could more specifically mean a grotesque ornament.",,,n.(f),,,,,,,,,,,,,x
"Morfondu, être",,,to have a cold,,,v.,COT1611,,,,,,,,,,,,
Morrion,,,"morion (open-faced helmet with cheek pieces and a brim, either with a comb or a point on top)",,morion,n.(m),,,,,,,,,,,,,
Mortier,,1,"mortar (grinding tool, as in mortar and pestle)",,,n.(m),,,,,,,,,,,,,
Mortier,,2,petard (artillery. Note that <i>mortier</i> and the English “mortar” refer to an artillery piece which fires at high angles; but the author-practitioners also uses <i>mortier</i> for a bomb which in English was known as a petard),,,,OED2008 | norton1623,,,,,,,,,,,,
Motte,,,lump,,,n.(f),COT1611,,,,,,,,,,,,
Moufle,,,mitten-like,,,adj.,DMF2015,,,,,,,,19v_3,,,,
Mouiller,,,to wet,,,v.,,,,,,humecter,,,,,,,
Moule,moulle,,mold,,moule,n.(m),,,,,,,,,,,,,
Moulée,moullée | molée,,"a type of sand used for molding that is the byproduct of sharpening knives and scissors, as described on fol. 71v; it occurs twice on fol. 73r, where the scribe has left it blank and the author-practitioner has filled in the word
",,,n.(f),,,,,,molée,,73r,,,,,
Mouler en cave,,,to mold hollow,,,v.,,,,,,,,153r,,,,,
Mouler en creux,,,to mold hollow,,,v.,,,,mouler en cave,,,,12r.,,,,,
Mouler en relief,,,to mold in relief,,,v.,,,,,,,,12r,,,,,
Moulets,,,The word could not be traced. It appears to refer to some kind of device to hold molds in place,,,n. (m pl),,,,,,,,,,,,,
Mouleure de tableaulx,,,moldings for panels,,,n.(f),,,,,,,,66r,,,,,
"Mourir, se",,,"to die (for colors, in the sense of fading away); to die down (of a fire)",,,v.,,,,,,,,,,,,,
Mousquet,,,"musket (musket also means sparrohawk, a small bird of prey, deriving from the French. The name was probably first given to small artillery pieces (see e.g. falcon) before it came to denote a hand-held long-barelled firearm)",,,n.(m),OED2008,,,,,,,,,,,,
Moyenne,,,moyen (cannon of intermediate size),,couleuvrine moyenne,n.(f),,,,,,,,,,,,,
Moyennement,,,moderately,,,adv.,COT1611,,,,,,,,p057v_1,,,,
Mucilagineulx,,,mucilaginous,,mucilagineux,adj.,,,,,,,,,16v,,,,
Mudat,,,moved,Occitan,,ppl.,doujat1974,,,,,,,,,,,,
Muer,,,to shed (of an animal with fur),,,v.,,,,,,,,,,,,,
Mundifier,mondifier,,to purify,,,v.,COT1611,,,,,,,,,,,,
Muraillle,,,wall (usually thick or exterior one),,,n.(f),DMF2015,,,,,,,,,,,,
Muy,,,"muid, i.e., a large vessel or measure",,,n.(m),COT1611,,,,,,,,p056r_1,,,,
Naif,naifve,,"true, lively (of colors)",,,adj.,COT1611,,,,,,,,,,,,
Naifvement,,,"exactly, faithfully, truly",,naïvement,,COT1611 | godefroy1971,,,,,,,,,,,,
Naifvete,,,vividness,,,,COT1611,,,,,,,,,,,,
Natte,,,mat,,,,COT1611,,,,,,,,,,,,
Naturel,,,"natural, according to nature",,,adj.,COT1611,,,,,,,,,,,,
Naturel,,,"nature, the natural, natural disposition, innate property or quality",,,n.(m),COT1611 | marr2019,,,,,,,,,,,,
Naturel (paindre au),,,to paint from nature,,,v.,,,,,,,,,,,,,
Net,,,"neat, clean",,,adj.,COT1611 | DMF2015,,,,,,,,,,,,
Nettement,,,neatly,,,adv.,COT1611,,,,,,,,p041v_3,,,,
Nel,,,"niello (decorations on silver in a black enamel made of lead, copper, silver, and ammonia salt )",,,n.(m),FHH,http://www.hautehorlogerie.org/fr/encyclopedie/lexique-de-lhorlogerie/s/nielle-ou-niel/,,,,,,41v,,,,,
Noir à huile,,,"Meaning uncertain, likely a black pigment; in Fr. 640, it seems to be specific to painting on glass",,,,,,,,,,,,p037v_2 | p039v_3,,,,
Noir à noircir,,,soot black,,noir de fumée,,,,,,,,,,,,,,
Noir d’escaille,,,"a black pigment, possibly made from hammer scale, known as scales black in English",,noir d'écaille,,,,Pilko (Amsterdam1771),,,,,,p031v_4,,,,
Noir d’os de pêche,,,peach black (black pigment made by charring peach stones and grinding the product. Percarum Lapidum refers to the prepared peach stones),,,n.(m),kirby2010,,,,,,,,,,,,
Noir de charbon de pierre,,,"unidentified black pigment, possibly based on pit coal",,,n.(m),,,,,,charbon de pierre,,,p063v_1,,,,
Noir de lampe,,,lampblack,,,n.(m),,,,,,,,,,,,,
Noix,,,"walnut (often used as an approximate measure for an amount of material ""the size of a walnut"")",,,n.(f),,,,,,,,,,,,,
Noyau,,,"<i>noyau</i> is used in Ms. Fr. 640 to mean “core,” that is, the inner block in a mold that allows casting a figure with a hollow core or center. Another name for such a “core” in French is âme. Félibien and Cellini use the two terms interchangeably (<i>anima</i> and <i>nocciolo</i> in Italian). The author-practitioner uses “ame” once on fol. 124r to mean core, but he seems to be contrasting it to the “noyau” by which he seems to mean the outer plaster mold. He contrasts molding and casting “en chassis” with that done “en noyau,” meaning molding with plaster either in one-piece or multi-piece molds",,,n.(m),felibien1697 | cellini1857,,,,,,,,,,,,
Ocre de ru,,,a type of yellow ochre,,,n.(m),kirby2010,,ann_042_sp_16,,,,,,,,,,
Œillet,,1,carnation,,,n.(m),,,,,,,,159v,,,,,
Œillet,,2,eyelet (burst bubble),,,n.(m),,,,,,,,,,,,,
Œillet,,3,young bud of a tree (in grafting),,,n.(m),COT1611,,,,,,,105r,,,,,
Oindre,,,"to annoint, in the sense of greasing of smearing with an unguent",,,v.,COT1611,,,,,,,,,,,,
Onglet,,,"a type of chisel, for fine engraving or chasing",,,n.(m),diderot2017,http://portail.atilf.fr/cgi-bin/getobject_?p.83:97./var/artfla/encyclopedie/textdata/image/,,,,burin,,,,,,,
Or bel,,,"tinsel (leaf metal imitating some more precious material; in Fr. 640, brass or copper leaf imitating gold)",,oripeau,n.(m),oudin1675 | boyer1727,,,,,,,,p007r_1a,,,,
Orberé,,,,,,,,,,,,bled orberé,,,,,,,
Or bruny,,,burnished gold,,,n.(m),,,,,,,,,,,,,
Or couleur,,,gold color (sometimes meaning a gold color produced by a particular process),,,,,,,,,,,66r,,,,,
Or de paillelle,or de paillole,,spangle gold (a type of gold which could be found by panning around Toulouse) ,,paillette,n.(m),constans1658,,,,,,,,p149r_2 ,,,,
Or de pistolet,,,"pistolet gold, coin worth half a pistole",,,n.(m),DMF2015,,,,,,,,,,,,
Or en feuille,,,gold leaf,,,n.(m),,,,,,,,8r,,,,,
Oribus,,,,,,,,,,,,pouldre d'oribus,,,,,,,
Or mat,,,mordant gilding; see Research Essay by Njeri Ndungu,,,n.(m),,,,,,,,,,,,,
Or moulu,or moleu,,"amalgam gilding, mercury mixed with ground gold to a paste, painted onto metal, then mercury is burned off, leaving the gold melded to the metal",,,n.(m),gineau2014,,,,,,,,p075r_b5,,,,
Ordeure,,,filth,,ordure,n.(f),,,,crasse,,,,,,,,,
Orfevre,,1,goldsmith,,orfèvre,n.(m),,,,,,forge,,,,,,,
Orfevre,,2,someone who works with precious metals in general,,orfèvre,n.(m),DMF2015,,,,,,,,,,,,
Orgue,,,orgue (assembly of several gun barrels mounted on a rack),,,n.(m),OED2008 | smith1628,,,,,,,,,,,,
Orme,,,elm (tree whose roots boiled in wine produce a binding medium known as <i>Magistra</i>),,,n.(m),,,,,,,,86r | 72r | 69v,,,,,
Orne,,,"Ash tree (<i>Fraxinus ornus</i>, properly “manna ash”)",,,n.(m),,,,,,,,,,,,,
Orner,,,to adorn,,,v.,,,,,,,,,,,,,
Orpiment,,,"orpiment (bright yellow pigment made from arsenic trisulfide, also known as orpin)",,,n.(m),DAF2018 | OED2008,http://cameo.mfa.org/wiki/Orpiment,,,,,,,,,,,
Osier,,,wicker,,,n.(m),,,,,,visme,,,,,,,
Paillelle,paillete,,spangle,,paillette,n.(f),,,,,,or de paillelle,,,,,,,
Pailleterie,,,spangling work,,,n.(f),COT1611,,,,,,,,p104v_3,,,,
Pal,,,pole,,,n.(m),COT1611,,,,,,,,p021r_2,,,,
Pale,palle,,shovel,,pelle,n.(f),COT1611,,,,,,,,P024v_1,,,,
Palette,,1,palette (as in painter’s palette),,,n.(f),DMF2015,,,,,,,,,,,,
Palette,,2,small spatula,,,n.(f),DMF2015,,,,,,,,,,,,
Palette,,3,"a small plank (in Fr. 640, often of wood)",Poitevin,,n.(f),DMF2015,,,,,,,,,,,,
Palle baisse,,,ditch-spade,Poitevin,,n.(f),"intermediaire1901, col. 309",,,,,,,,,,,,
Palma christi,,1,"Meaning uncertain, likely refers to a plant with palmately lobed leaves, perhaps cut-leaved dead-nettle, <i>Lamium hybridum</i> or the castor oil plant, <i>Ricinus communis</i>.",Latin,,n.(f),OED2008,,,,,,,,,,,,
Palma christi,,2,"Possibly a medicine, made of pig's tallow and palmately lobed leaves. Used as an additive to enhance the drying capacities of oil.",Latin,,n.(f),,,,,,,,,,,,,x
Pan,,,handspan (the distance between the ends of thumb and little finger; a measuring unit in the South of France; approx. 25cm),,,n.(m),DMF2015,http://artflsrv02.uchicago.edu/cgi-bin/dicos/pubdico1look.pl?strippedhw=pan,,,,,,,,,,,
Panier,,,"unit of measure for the sale of plate glass, which sells at 10 or 12 livres",,,n.(m),,,,,,,,20r,,,,,
Pante de lit,,,bed valance,,pente,n.(f),,,,,,,,,,,,,
Papier de trasse,,,"thick paper used for making cards, but also rough paper used to wrap merchandise",,papier de trace,n.(m),diderot2017,https://books.google.com/books?id=S1ADav-QqJIC&pg=PA103&lpg=PA103&dq=%22papier+de+trasse%22&source=bl&ots=Ku2vUeMJPD&sig=wXFaDoW39Dpf7rL09nkBwt2-tNY&hl=en&sa=X&ei=YUujU7nhIJa2sATTIA&ved=0CCQQ6AEwAQ#v=onepage&q=%22papier%20de%20trasse%22&f=false,,,,,,,,,,,
Papus,,,"pappus (modified calyx, the part of an individual floret that surrounds the base of the corolla tube in flower heads of the plant family Asteraceae); in Fr. 640, suggested, along with dandelion, as a particularly difficult test of life-casting ability (124r).",,,n.(m),,,,,,,,124r,,,,,
Parayre,,,fuller (a profession employed in finishing cloth using fine clay),Occitan,,n.(m),,http://micmap.org/dicfro/dictionary/godefroy-dictionary/mImg/0500762.gif,,,,Terre des parayres,,,,,,,
Pareure,,,"peel, parings",,,n.(f),,,,,,,,,,,,,
Parfaict,,,"complete, finished",,,n.(m),DMF2015,,,,,,,,,,,,
Parfumer,,,"to fumigate, when dealing with molds and metals",,,v.,,,,,,fumer,,,,,,,
Paroy,,,partition,,parois,n.(f),DMF2015,,,,,,,,,,,,
Partant,,,therefore,,,adv.,COT1611,,,,,,,,,,,,
Participer de,,,akin to; or to be kin to or related to in nature,,,v.,,,,,,,,5r | 87v,,,,,
Pas,,,pace (measurement),,,n.(m),COT1611,,,,,,,,,,,,
Passe solitaire,,,owsell (or similar bird),,,n.(m),COT1611,https://doi.org/10.1163/9789004367432_018,,,,,,,,,,,
Passer,,,"to pass (In heating iron and steel, this can mean heating the metal to cause them to pass from one color to another.)",,,v.,,,,,,,,,p96v_1,,,,
Passevelours,,,amaranth,,,n.(m),,,,,,,,,,,,,
Passevolant,,,"small type of cannon, also called base",,,n.(m),COT1611,http://www.micmap.org/dicfro/search/cotgrave/passevolant,,,,,,,,,,,
Pastel,,,"pastel woad (The author-practitioner distinguishes pastel from guesde. Cotgrave calls it “Dyers woad (of a finer sort then that which is called Guesde),” and in the entry for Guesde, Cotgrave comments that “most writers confound them."")",,,n.(m),COT1611,,,,,guesde,,,,,,,
Pastel d'escarlate,,,scarlet pastel,,,n.(m),muguet1671 | anonymous1791 |  cardon2016,,,,,,,,,,,,
Pata lupina,Palta lupina,,"<i>Caltha palustris</i>, a variety of buttercup (ranunculus family)",Latin,,n.(f),,,,,,ranunculus,,,,,,,
Pate,,,foot,,patte,n.(f),,,,,,,,,,,,,
Patron,,,pattern (in painting),,,n.(m),COT1611,,,,,,,,,,,,
Patronner,,,to model,,,v.,DMF2015,,,,,,,,p065r_4,,,,
Pau,,,stake,,,n.(m),COT1611,,,,,,,,,,,,
Pavie,pavis,,a kind of peach native to the Gers,,,n.(f),,http://www.pommiers.com/peche/pecher.htm,,,,mericoton,,,,,,,
Pegue,,,pitch,Occitan,,n.(f),,,,,,,,,,,,,
Peindre au naturel,,,painting from nature,,,v.,,,,,,,,,p031v_3,,,,
Pelerin,,,"fellow, a good companion",,,n.(m),TLFi2019,,,,,,,,,,,,
Pelote,pelotte | pilotte,,little ball,,pelote,n.(f),COT1611,,,,,,,,,,,,
Pendant d'épée,,,"hanger of a scabbard, attaching it to the belt, also known as frogs",,,n.(m),,,,,,,,96r,,,,,
Penetrer,,,"to penetrate, to reach all the smaller parts of the mold",,,v.,,,,,,,,,,,,,
Pers,,,a dark blue,,,adj.,DMF2015 | COT1611,,,,,,,,,,,,
Persicaire,,,"dead arsemart, dead culerage, ciderage, peachwort (seems to refer to a running agent or a kind of flux added to liquify or clean metal)",,,n.(f),,,,,,,,072r,,,,,x
Pertuis,,,"opening, hole",,,n.(m),,,,,,,,156r,,,,,x
Pesanteur,poisanteur,,heaviness,,,n.(f),,,,,,,,121r,,,,,
Petiller,,,to crackle,,,v.,COT1611,,,,,,,,,,,,
Petrolle,petrole,,liquid or soft Bitumen,,pétrole,n.(m),COT1611,,,,,,,,,,,,
Petter,,,to crack,,,v.,,,,,,,,,,,,,
Picoter,,,to peck,,,v.,,,,,,,,,,,,,
Picotin,,,"peck, a measure of about 5 pints, used to measure oats",,,n.(m),COT1611,,,,,,,,p056r_1,,,,
Piece,,,piece (of artillery),,,n.(f),,,,,,,,,,,,,
Piece de campaigne,,,field piece,,pièce de campagne,n.(f),,,,,,,,018v,,,,,
Pieces de foeu,,,"firearms, artillery",,,n.(f),,,,,,,,047v,,,,,
Pièces de plaisir,,,pleasure pieces (guns not intended to be put on carriages),,,n.(f),,,,,,,,,,,,,
Pied de roi,pied de roy,,"a king's foot, a standard 12 inch foot unit of measure",,,n.(m),COT1611,,,,,,,,,,,,
Pied de veau,,,"calf's foot (<i>Arum maculatum</i>, arum)",,,n.(m),,,,,,jarus,,035v,,,,,
Pierre de foudre,,,thunderstone (possibly fossilized part of belemnoids),,,n.(f),,https://books.google.fr/books?id=iJUPAAAAQAAJ&pg=PA631&dq=%22pierre+de+foudre%22+anglais&hl=fr&sa=X&ved=0ahUKEwjHweXz_ZHcAhXJaxQKHTBJCJAQ6AEILjAB#v=onepage&q=%22pierre%20de%20foudre%22%20anglais&f=false,,,,,,,p095r_1,,,explanation?,
Pierre de touche,,,touchstone,,,n.(f),,,,,,,,,,,,,
Pierre morte,,,"Exact meaning unclear, but it is used as a synonym for <i>grais</i> in the manuscript. According to Guy Miège, it means ""a decay'd stone, a stone long since hewen out of the rock.""",,,n.(f),Miege1679,,,,,grais,,,,,,,
Pierre ponce,,,pumice stone,,,n.(f),COT1611,,,,,,,,,,,,
Pierre sidérite,,,"magnet (in modern chemical nomenclature, siderite is iron carbonate, also called chalybite)",,,n.(f),COT1611,http://cameo.mfa.org/wiki/Siderite,,,,,,,,,,,
Pierre vive,,,flint,,,n.(f),COT1611,,,,,,,,,,,,
Pierrerie,,,gemstone,,,n.(f),,,,,,,,,,,,,
Pignon,pinon,,pine nut,,,n.(m),COT1611 | DMF2015,,,,,,,,,,,,
Piler,,,to pestle,,,v.,OED2008 | DMF2015,,,,,,,,p055v_b4,,,,
Pilon,pinon,,pestle,,,n.(m),,,,,,,,,,,,,
Pilotte,,,see pelote,,,n.(f),,,,,,,,,,,,,
Pinceau,,,"paintbrush (not to be confused with brosse, which can be a flat brush)",,,n.(m),,,,,,brosse,,,,,,,
Pinte,,,pint (French or Parisian pint as a measure of volume; or a vessel containing that measure),,,n.(f),COT1611,,,,,,,,p058v_4,,,,
Pionnier,,,pioneer,,,n.(m),COT1611,,,,,,,,p024v_1,,,,
Pistolet,,,"pistolet, a gold coin, often the Spanish (double-)escudo",,,n.(m),OED2008,,,,,,,,,,,,
Pituite,,,phlegm,,,n.(f),,,,,,,,,,,,,
Plain,,,flat (a type of gemstone cut),,,adj.,ogden2018,Diamonds: An Early History of the King of Gems,,,,,,,,,,,x
Plancher,planché,1,floorboards,,plancher,n.(m),,,,,,,,,,,,,
Plancher,,2,ceiling,,,n.(m),,,,,,,,,,,,,
Plane,,1,plane (woodworking tool),,,n.(f),COT1611,http://www.pbm.com/~lindahl/cotgrave/search/732r.html,,,,rabot,,,p094r_1,,,,
Plane,,2,"a specific type of plane called a draw knife, described on fol. 95v",,,,,,,,,,,,,,,,
Plane,,3,"a tool for burnishing tin plates, described on fol. 30v",,,,,,,,,,,,,,,,
