 pastel woad flowers|001r||p001r_1
 verdet|134v|For making ☀ run|p134v_1
 oil|134v|For making ☀ run|p134v_1
 metals|134v|For making ☀ run|p134v_1
 gold|134v|For gold casts for large works|p134v_2
 iron wire|134v|For gold casts for large works|p134v_2
 gold|134v|For gold casts for large works|p134v_2
 lead|134v|For gold casts for large works|p134v_2
 tin|134v|For gold casts for large works|p134v_2
 soldering|134v|Secret for soldering gold and silver for small works|p134v_3
 gold|134v|Secret for soldering gold and silver for small works|p134v_3
 silver|134v|Secret for soldering gold and silver for small works|p134v_3
 gold|134v|Secret for soldering gold and silver for small works|p134v_3
 silver|134v|Secret for soldering gold and silver for small works|p134v_3
 wax|134v|Secret for soldering gold and silver for small works|p134v_3
 soldering gold|134v|Secret for soldering gold and silver for small works|p134v_3
 phlegm|134v|Secret for soldering gold and silver for small works|p134v_3
 white thick which saliva that is found on the teeth|134v|Secret for soldering gold and silver for small works|p134v_3
 solder|134v|Secret for soldering gold and silver for small works|p134v_3
 little spangle of gold|134v|Secret for soldering gold and silver for small works|p134v_3
 fat earth|134v|Secret for soldering gold and silver for small works|p134v_3
 saliva|134v|Secret for soldering gold and silver for small works|p134v_3
 solder|134v|Secret for soldering gold and silver for small works|p134v_3
 borax|134v|Secret for soldering gold and silver for small works|p134v_3
 Boiled water of quince seed|134v|Secret for soldering gold and silver for small works|p134v_3
 Couleur|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 gold|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 Verdigris|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 sal ammoniac|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 saltpeter|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 Saltpeter|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 couleur|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 sour melted gold|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 gold|135r|Couleurc_135r_01 for gold or mixture|p135r_1
 metal|135r|Gate|p135r_2
 metal|135r|Gate|p135r_2
 wax|135r|Gate|p135r_2
 clay|135r|Vine leaf and small frog|p135r_3
 clay|135r|Vine leaf and small frog|p135r_3
 clay|135r|Vine leaf and small frog|p135r_3
 wax|135r|Vine leaf and small frog|p135r_3
 stil de grain yellow|135r|Vine leaf and small frog|p135r_3
 verd de terre|135r|Vine leaf and small frog|p135r_3
 ☼|135v|Casting in ☼|p135v_1
 borax|135v|Casting in ☼|p135v_1
 ☼|135v|Casting in ☼|p135v_1
 charcoals|135v|Casting in ☼|p135v_1
 charcoal|135v|Casting in ☼|p135v_1
 gold|135v|Casting in ☼|p135v_1
 gold|135v|Casting in ☼|p135v_1
 borax|135v|Casting in ☼|p135v_1
 charcoal|135v|Casting in ☼|p135v_1
 gold|135v|Casting in ☼|p135v_1
 smokes|135v|Casting in ☼|p135v_1
 borax|135v|Casting in ☼|p135v_1
 couleurc_135r_01 composed, as said beforehand here, of verdet, saltpeter, sal ammoniac & borax|135v|Casting in ☼|p135v_1
 couleur|135v|Casting in ☼|p135v_1
 verdet|135v|Casting in ☼|p135v_1
 saltpeter|135v|Casting in ☼|p135v_1
 sal ammoniac|135v|Casting in ☼|p135v_1
 borax|135v|Casting in ☼|p135v_1
 gold|135v|Casting in ☼|p135v_1
 gold|135v|Casting in ☼|p135v_1
 lute|135v|Casting in ☼|p135v_1
 sand|135v|Casting in ☼|p135v_1
 crocum|135v|Casting in ☼|p135v_1
 gold|135v|Casting in ☼|p135v_1
 sand|135v|Casting in ☼|p135v_1
 gold|135v|Casting in ☼|p135v_1
 couleur|136r||p135v_1
 sand|136r||p135v_1
 water|136r||p135v_1
 gold|136r||p135v_1
 tin|136r||p135v_1
 gold|136r||p135v_1
 sand|136r||p135v_1
 gold|136r||p135v_1
 aquafortis|136r||p135v_1
 latten|136r||p135v_1
 sol|136r||p135v_1
 latten|136r||p135v_1
 gold|136r||p135v_1
 latten|136r||p135v_1
 plate of lead|136r||p135v_1
 gold|136r||p135v_1
 aquafortis|136r||p135v_1
 gold leaf|136r|DEsmEnamelling thin works|p136r_1
 enamel|136r|DEsmEnamelling thin works|p136r_1
 latten|136v|For casting with latten|p136v_1
 latten|136v|For casting with latten|p136v_1
 German tokens|136v|For casting with latten|p136v_1
 calamine|136v|For casting with latten|p136v_1
 calamine|136v|For casting with latten|p136v_1
 fresh calamine|136v|For casting with latten|p136v_1
 latten|136v|For casting with latten|p136v_1
 latten|136v|For casting with latten|p136v_1
 calamine|136v|For casting with latten|p136v_1
 latten|136v|For casting with latten|p136v_1
 gold|136v|For casting with latten|p136v_1
 silver|136v|For casting with latten|p136v_1
 copper|136v|For casting with latten|p136v_1
 metal|136v|For casting with latten|p136v_1
 calamine|136v|For casting with latten|p136v_1
 German tokens|136v|For casting with latten|p136v_1
 nails of rosette|136v|For casting with latten|p136v_1
 doulx latten|136v|For casting with latten|p136v_1
 calamine|136v|For casting with latten|p136v_1
 strong yellow latten|136v|For casting with latten|p136v_1
 latten|136v|For casting with latten|p136v_1
 latten|136v|For casting with latten|p136v_1
 water|136v|For casting with latten|p136v_1
 melted silver|136v|For casting with latten|p136v_1
 steel|136v|For casting with latten|p136v_1
 calamine|136v|For casting with latten|p136v_1
 Sal ammoniac|136v|For casting with latten|p136v_1
 latten|136v|For casting with latten|p136v_1
 Huile tingente|136v|For casting with latten|p136v_1
 sand|136v|For casting with latten|p136v_1
 gold|136v|For casting with latten|p136v_1
 yellowed latten|136v|For casting with latten|p136v_1
 prepared tutty|136v|For casting with latten|p136v_1
 metal|136v|For casting with latten|p136v_1
 calamine smoke|136v|For casting with latten|p136v_1
 silver|136v|For casting with latten|p136v_1
 glass|136v|For casting with latten|p136v_1
 very yellow latten|136v|For casting with latten|p136v_1
 calamine|136v|For casting with latten|p136v_1
 red copper|136v|For casting with latten|p136v_1
 fresh calamine|136v|For casting with latten|p136v_1
 prepared tutty|136v|For casting with latten|p136v_1
 charcoal|136v|For casting with latten|p136v_1
 copper|136v|For casting with latten|p136v_1
 iron|136v|For casting with latten|p136v_1
 cloth|136v|For casting with latten|p136v_1
 pig fat|136v|For casting with latten|p136v_1
 saltpeter|136v|For casting with latten|p136v_1
 sal ammoniac|136v|For casting with latten|p136v_1
 red copper|137r|For casting in red copper|p137r_1
 Pure red copper from a cauldron or other thin works|137r|For casting in red copper|p137r_1
 sal ammoniac|137r|For casting in red copper|p137r_1
 fine tin|137r|For casting in red copper|p137r_1
 copper|137r|For casting in red copper|p137r_1
 gold|137r|For casting in red copper|p137r_1
 silver|137r|For casting in red copper|p137r_1
 latten|137r|For casting in red copper|p137r_1
 metal|137r|For casting in red copper|p137r_1
 steel|137r|For casting in red copper|p137r_1
 melted silver|137r|For casting in red copper|p137r_1
 Red copper|137r|For casting in red copper|p137r_1
 latten|137r|For casting in red copper|p137r_1
 strong smoke|137r|For casting in red copper|p137r_1
 paper|137r|For casting in red copper|p137r_1
 melted silver|137r|For casting in red copper|p137r_1
 sand|137r|For casting in red copper|p137r_1
 Copper|137r|For casting in red copper|p137r_1
 latten|137r|For casting in red copper|p137r_1
 metal|137r|For casting in red copper|p137r_1
 red copper|137r|For casting in red copper|p137r_1
 water|137r|For casting in red copper|p137r_1
 Huile tingente|137r|Huile tingente to make metals run|p137r_2
 metals|137r|Huile tingente to make metals run|p137r_2
 ☿ sublimate of Venice|137r|Huile tingente to make metals run|p137r_2
 arsenic sublimate|137r|Huile tingente to make metals run|p137r_2
 aes ustum|137r|Huile tingente to make metals run|p137r_2
 sal ammoniac|137r|Huile tingente to make metals run|p137r_2
 glass|137r|Huile tingente to make metals run|p137r_2
 hot ash|137r|Huile tingente to make metals run|p137r_2
 wax|137r|Huile tingente to make metals run|p137r_2
 melted metal|137r|Huile tingente to make metals run|p137r_2
 tartar|137r|Huile tingente to make metals run|p137r_2
 filth|137r|Huile tingente to make metals run|p137r_2
 nastiness|137r|Huile tingente to make metals run|p137r_2
 sal ammoniac|137r|Huile tingente to make metals run|p137r_2
 tin|137r|Huile tingente to make metals run|p137r_2
 water|137r|Huile tingente to make metals run|p137r_2
 iron wire|137r|Clamps|p137r_3
 Tempering sand for molds of flat medals|137v|Tempering sand for molds of flat medals|p137v_1
 wax|137v|Tempering sand for molds of flat medals|p137v_1
 metal|137v|Tempering sand for molds of flat medals|p137v_1
 oiled|137v|Tempering sand for molds of flat medals|p137v_1
 eau-de-vie|137v|Tempering sand for molds of flat medals|p137v_1
 water|137v|Tempering sand for molds of flat medals|p137v_1
 oiled|137v|Tempering sand for molds of flat medals|p137v_1
 water|137v|Tempering sand for molds of flat medals|p137v_1
 cold water|137v|Tempering sand for molds of flat medals|p137v_1
 oiled|137v|Tempering sand for molds of flat medals|p137v_1
 oiled|137v|Tempering sand for molds of flat medals|p137v_1
 Hot water|137v|Tempering sand for molds of flat medals|p137v_1
 water|137v|Tempering sand for molds of flat medals|p137v_1
 oil|137v|Tempering sand for molds of flat medals|p137v_1
 eau-de-vie|137v|Tempering sand for molds of flat medals|p137v_1
 hot water|137v|Tempering sand for molds of flat medals|p137v_1
 oil|137v|Tempering sand for molds of flat medals|p137v_1
 oil|137v|Tempering sand for molds of flat medals|p137v_1
 oiled|137v|Tempering sand for molds of flat medals|p137v_1
 oil|137v|Tempering sand for molds of flat medals|p137v_1
 gold|138r||p137v_1
 silver|138r||p137v_1
 copper|138r||p137v_1
 latten|138r||p137v_1
 thick bones|138r||p137v_1
 ☿|138r||p137v_1
 ☿|138r||p137v_1
 scrapings of the mold|138r||p137v_1
 brick|138r||p137v_1
 pieces of the molds that have been used|138r||p137v_1
 lutes|138r||p137v_1
 gold|138r||p137v_1
 silver|138r||p137v_1
 water of sal ammoniac|138r||p137v_1
 spat from Germany|138r||p137v_1
 metals|138r||p137v_1
 sulfured black wax|138r||p137v_1
 brick|138r||p137v_1
 wood|138r||p137v_1
 water|138r||p137v_1
 fresh clay|138r||p137v_1
 grey earth|138r||p137v_1
 The yellow|138r||p137v_1
 wax|138r||p137v_1
 water|138r||p137v_1
 water|138r||p137v_1
 Talcum|138v|Talcum mixed in the molds|p138v_1
 oil|138v|Talcum mixed in the molds|p138v_1
 steel|138v|Talcum mixed in the molds|p138v_1
 Gold|138v|Gold cast very thinly|p138v_2
 solder|138v|Gold cast very thinly|p138v_2
 gold|138v|Gold cast very thinly|p138v_2
 cloth|138v|Gold cast very thinly|p138v_2
 cloth|138v|Gold cast very thinly|p138v_2
 Fine gold|138v|Gold cast very thinly|p138v_2
 wheat oil|138v|Gold cast very thinly|p138v_2
 alloyed gold|138v|Gold cast very thinly|p138v_2
 soldered|138v|Gold cast very thinly|p138v_2
 Counterfeitc_003r_02 diamonds put in a work|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 black wax|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 wheat oil|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 lamp smoke|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 false stones|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 stone|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 wax|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 steel|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 stone|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 stone|138v|Counterfeitc_003r_02 diamonds put in a work|p138v_3
 lead|139r|Casts of lead and tin|p139r_1
 tin|139r|Casts of lead and tin|p139r_1
 fine tin|139r|Casts of lead and tin|p139r_1
 new & unadulterated lead|139r|Casts of lead and tin|p139r_1
 metals|139r|Casts of lead and tin|p139r_1
 lead|139r|Casts of lead and tin|p139r_1
 lead|139r|Casts of lead and tin|p139r_1
 charcoal|139r|Casts of lead and tin|p139r_1
 resin|139r|Casts of lead and tin|p139r_1
 filth|139r|Casts of lead and tin|p139r_1
 filth|139r|Casts of lead and tin|p139r_1
 looking-glass tin|139r|Casts of lead and tin|p139r_1
 lead|139r|Casts of lead and tin|p139r_1
 melted metal|139r|Casts of lead and tin|p139r_1
 lead|139r|Casts of lead and tin|p139r_1
 metal|139r|Casts of lead and tin|p139r_1
 fine tin|139r|Casts of lead and tin|p139r_1
 fine tin|139r|Casts of lead and tin|p139r_1
 new lead|139r|Casts of lead and tin|p139r_1
 sheets of copper|139r|Casts of lead and tin|p139r_1
 ash|139r|Casts of lead and tin|p139r_1
 metal|139r|Casts of lead and tin|p139r_1
 cuttlefish bone|139r|Casts of lead and tin|p139r_1
 cuttlefish bone|139r|Casts of lead and tin|p139r_1
 paper|139r|Casts of lead and tin|p139r_1
 paper|139r|Casts of lead and tin|p139r_1
 paper|139r|Casts of lead and tin|p139r_1
 written paper|139r|Casts of lead and tin|p139r_1
 lead|139r|Casts of lead and tin|p139r_1
 tin|139r|Casts of lead and tin|p139r_1
 cartons|139r|Casts of lead and tin|p139r_1
 gold|139r|Casts of lead and tin|p139r_1
 hard wood|139r|Casts of lead and tin|p139r_1
 lead|139r|Casts of lead and tin|p139r_1
 carton|139r|Casts of lead and tin|p139r_1
 carton|139r|Casts of lead and tin|p139r_1
 earth|139v||p139r_1
 blades of copper|139v||p139r_1
 iron|139v||p139r_1
 wood|139v||p139r_1
 white iron|139v||p139r_1
 sheets of copper|139v||p139r_1
 iron|139v||p139r_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 white wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 filth|139v|Cast of wax to represent an animal that one has not got|p139v_1
 charcoal, pestled & finely passed through a linen or a sleeve|139v|Cast of wax to represent an animal that one has not got|p139v_1
 linen|139v|Cast of wax to represent an animal that one has not got|p139v_1
 charcoal|139v|Cast of wax to represent an animal that one has not got|p139v_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 charcoal|139v|Cast of wax to represent an animal that one has not got|p139v_1
 melted wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 sulfur|139v|Cast of wax to represent an animal that one has not got|p139v_1
 water|139v|Cast of wax to represent an animal that one has not got|p139v_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 the aforesaid pulverized charcoal|139v|Cast of wax to represent an animal that one has not got|p139v_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 smokes|139v|Cast of wax to represent an animal that one has not got|p139v_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 pulverized charcoal|139v|Cast of wax to represent an animal that one has not got|p139v_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 black sulfured wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 sulfur|139v|Cast of wax to represent an animal that one has not got|p139v_1
 filth|139v|Cast of wax to represent an animal that one has not got|p139v_1
 pestled charcoal|139v|Cast of wax to represent an animal that one has not got|p139v_1
 ash|139v|Cast of wax to represent an animal that one has not got|p139v_1
 wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 modelling wax|139v|Cast of wax to represent an animal that one has not got|p139v_1
 white plaster|140r||p139v_1
 water so hot|140r||p139v_1
 hot water|140r||p139v_1
 wax|140r||p139v_1
 wax|140r||p139v_1
 wax|140r||p139v_1
 sugar|140r||p139v_1
 wax|140r||p139v_1
 wax|140r||p139v_1
 copper|140r||p139v_1
 sulfur|140r||p139v_1
 slate|140r||p139v_1
 sulfur|140r||p139v_1
 wax|140r||p139v_1
 wax|140r||p139v_1
 varnish|140r||p139v_1
 hot water|140r||p139v_1
 wax|140r||p139v_1
 silver|140r||p139v_1
 silver|140v||p139v_1
 copper|140v||p139v_1
 aquafortis|140v||p139v_1
 copper|140v||p139v_1
 gold|140v||p139v_1
 silver|140v||p139v_1
 sulfur|140v|For casting in sulfur|p140v_1
 sulfur|140v|For casting in sulfur|p140v_1
 bread pith|140v|For casting in sulfur|p140v_1
 sulfur|140v|For casting in sulfur|p140v_1
 melted wax|140v|For casting in sulfur|p140v_1
 bread pith|140v|Molding and shrinking a large figure|p140v_2
 bread pith|140v|Molding and shrinking a large figure|p140v_2
 Bread|140v|Molding and shrinking a large figure|p140v_2
 sulfur|140v|Molding and shrinking a large figure|p140v_2
 bread|140v|Molding and shrinking a large figure|p140v_2
 lead|140v|Cast of lead and tin in plaster|p140v_3
 tin|140v|Cast of lead and tin in plaster|p140v_3
 plaster|140v|Cast of lead and tin in plaster|p140v_3
 plaster|140v|Cast of lead and tin in plaster|p140v_3
 brick|140v|Cast of lead and tin in plaster|p140v_3
 plaster|140v|Cast of lead and tin in plaster|p140v_3
 brick|140v|Cast of lead and tin in plaster|p140v_3
 flowers|140v|Cast of lead and tin in plaster|p140v_3
 alum de plume|140v|Cast of lead and tin in plaster|p140v_3
 crocum|140v|Cast of lead and tin in plaster|p140v_3
 plaster|140v|Cast of lead and tin in plaster|p140v_3
 brick|140v|Cast of lead and tin in plaster|p140v_3
 plaster|140v|Cast of lead and tin in plaster|p140v_3
 brick|140v|Cast of lead and tin in plaster|p140v_3
 oiled|140v|Cast of lead and tin in plaster|p140v_3
 eau-de-vie|140v|Cast of lead and tin in plaster|p140v_3
 tin|140v|Cast of lead and tin in plaster|p140v_3
 lead|140v|Cast of lead and tin in plaster|p140v_3
 tin|140v|Cast of lead and tin in plaster|p140v_3
 lead|140v|Cast of lead and tin in plaster|p140v_3
 lead|140v|Cast of lead and tin in plaster|p140v_3
 tin|140v|Cast of lead and tin in plaster|p140v_3
 goldsmith's cement|141r|Molding a crayfish|p141r_1
 iron|141r|Molding a crayfish|p141r_1
 oliveoil|141r|Molding a crayfish|p141r_1
 wheatoil|141r|Molding a crayfish|p141r_1
 eau-de-vie|141r|Molding a crayfish|p141r_1
 white bones|141r|Molding a crayfish|p141r_1
 ☿|141r|Molding a crayfish|p141r_1
 oil|141r|Molding a crayfish|p141r_1
 wine|141r|Molding a crayfish|p141r_1
 salt|141r|Molding a crayfish|p141r_1
 vermilion|141r|Molding a crayfish|p141r_1
 lake|141r|Molding a crayfish|p141r_1
 vermilion|141r|Molding a crayfish|p141r_1
 yellow ochre|141r|Molding a crayfish|p141r_1
 white|141r|Molding a crayfish|p141r_1
 yellow potter’s earth|141v||p141r_1
 clay|141v||p141r_1
 iron wire|141v||p141r_1
 clay|141v||p141r_1
 clay|141v||p141r_1
 clay|141v||p141r_1
 clay|141v||p141r_1
 wax|141v||p141r_1
 iron|141v||p141r_1
 wax|141v||p141r_1
 iron wire|141v||p141r_1
 eau-de-vie|141v||p141r_1
 melted wax|141v||p141r_1
 vermilion|141v||p141r_1
 lake|141v||p141r_1
 vermilion|141v||p141r_1
 white of ceruse|141v||p141r_1
 yellow ochre|141v||p141r_1
 whitened latten wire|141v||p141r_1
 solder|141v||p141r_1
 wax|142r||p141r_1
 iron wire|142r||p141r_1
 oil|142r||p141r_1
 water|142r||p141r_1
 oil|142r||p141r_1
 eau-de-vie|142r||p141r_1
 luted|142r||p141r_1
 crocum|142r||p141r_1
 crocum|142r||p141r_1
 wax|142r||p141r_1
 wax|142r||p141r_1
 thick thread|142r||p141r_1
 wax|142r||p141r_1
 metal|142r||p141r_1
 wax|142r||p141r_1
 written paper|142v|Molding grasshoppers and things too thin|p142v_1
 paper|142v|Molding grasshoppers and things too thin|p142v_1
 melted butter|142v|Molding grasshoppers and things too thin|p142v_1
 melted butter|142v|Molding grasshoppers and things too thin|p142v_1
 butter|142v|Molding grasshoppers and things too thin|p142v_1
 wheat oil|142v|Molding grasshoppers and things too thin|p142v_1
 Wax|142v|Molding grasshoppers and things too thin|p142v_1
 butter|142v|Molding grasshoppers and things too thin|p142v_1
 paper|142v|Molding grasshoppers and things too thin|p142v_1
 common carton|142v|Molding grasshoppers and things too thin|p142v_1
 letter|142v|Molding grasshoppers and things too thin|p142v_1
 gum|142v|Molding grasshoppers and things too thin|p142v_1
 clay|142v|Molding grasshoppers and things too thin|p142v_1
 letter|142v|Molding grasshoppers and things too thin|p142v_1
 cinnabar|142v|Molding grasshoppers and things too thin|p142v_1
 oil|142v|Molding grasshoppers and things too thin|p142v_1
 oiled paper|142v|Molding grasshoppers and things too thin|p142v_1
 charcoals|142v|Molding grasshoppers and things too thin|p142v_1
 Lute|142v|Lute for luting your molds|p142v_3
 luting|142v|Lute for luting your molds|p142v_3
 lean earth of which the founders of artillery & bells make their trusseaulx and molds|142v|Lute for luting your molds|p142v_3
 mortar|142v|Lute for luting your molds|p142v_3
 horse dung|142v|Lute for luting your molds|p142v_3
 discarded cloth waste|142v|Lute for luting your molds|p142v_3
 cloth shavings|142v|Lute for luting your molds|p142v_3
 lute|142v|Lute for luting your molds|p142v_3
 vinegar|143r|Molding turtles|p143r_1
 eau-de-vie|143r|Molding turtles|p143r_1
 urine|143r|Molding turtles|p143r_1
 hot water|143r|Molding turtles|p143r_1
 vinegar|143r|Molding turtles|p143r_1
 eau-de-vie|143r|Molding turtles|p143r_1
 urine|143r|Molding turtles|p143r_1
 wheat chaff|143r|Molding turtles|p143r_1
 warm manure|143r|Molding turtles|p143r_1
 crocum|143r|Molders from Foix|p143r_2
 calcined slate|143r|Molders from Foix|p143r_2
 slate|143r|Molders from Foix|p143r_2
 porphyry|143r|Molders from Foix|p143r_2
 water|143r|Molders from Foix|p143r_2
 metal|143r|Toad|p143r_3
 wax|143v||p143r_3
 metal|143v||p143r_3
 wax|143v||p143r_3
 wax|143v||p143r_3
 wax|143v||p143r_3
 clay|143v|Carcanets made à jour|p143v_1
 wax|143v|Carcanets made à jour|p143v_1
 wax|143v|Carcanets made à jour|p143v_1
 clay|143v|Carcanets made à jour|p143v_1
 Iron filings|143v|Iron filings|p143v_2
 filings|143v|Iron filings|p143v_2
 nastiness|143v|Iron filings|p143v_2
 impurities|143v|Iron filings|p143v_2
 clear water|143v|Iron filings|p143v_2
 water|143v|Iron filings|p143v_2
 good filings|143v|Iron filings|p143v_2
 leaves & blades of silver|143v|Carnations|p143v_3
 vinegar|144r|Turtles|p144r_1
 urine|144r|Turtles|p144r_1
 clay|144r|Turtles|p144r_1
 fresh clay|144r|Turtles|p144r_1
 grain of yellow millet|144r|Turtles|p144r_1
 filthy|144r|Turtles|p144r_1
 grain of large amaranth|144r|Turtles|p144r_1
 small one|144r|Turtles|p144r_1
 grain of rapeseed|144r|Turtles|p144r_1
 iron|144r|Turtles|p144r_1
 clay|144r|Turtles|p144r_1
 clay|144r|Turtles|p144r_1
 clay|144v||p144r_1
 clay|144v||p144r_1
 oil|144v||p144r_1
 pinceau|144v||p144r_1
 hot water|144v||p144r_1
 eau-de-vie|144v||p144r_1
 oiled|144v||p144r_1
 Hot water|144v||p144r_1
 water|144v||p144r_1
 oil|144v||p144r_1
 clay|144v||p144r_1
 clay|144v||p144r_1
 iron wire|144v||p144r_1
 clay|144v||p144r_1
 clay|144v||p144r_1
 oiled|144v||p144r_1
 eau-de-vie|144v||p144r_1
 water|144v||p144r_1
 water of sal ammoniac|144v||p144r_1
 hot water|144v||p144r_1
 oiled|144v||p144r_1
 oil|144v||p144r_1
 crocum|144v||p144r_1
 bronze|145r|Casting in three frames|p145r_1
 Cuttlefish bone|145r|Cuttlefish bone|p145r_2
 tin|145r|Cuttlefish bone|p145r_2
 lead|145r|Cuttlefish bone|p145r_2
 bone|145r|Cuttlefish bone|p145r_2
 paper|145r|Cuttlefish bone|p145r_2
 Gold|145r|Cuttlefish bone|p145r_2
 silver|145r|Cuttlefish bone|p145r_2
 bone|145r|Cuttlefish bone|p145r_2
 gold|145r|Cuttlefish bone|p145r_2
 lute|145r|Cuttlefish bone|p145r_2
 clay|145r|Cuttlefish bone|p145r_2
 bone|145r|Cuttlefish bone|p145r_2
 wood|145r|Cuttlefish bone|p145r_2
 charcoal|145r|Cuttlefish bone|p145r_2
 charcoal|145r|Cuttlefish bone|p145r_2
 bone|145r|Cuttlefish bone|p145r_2
 charcoaled|145r|Cuttlefish bone|p145r_2
 bone|145r|Cuttlefish bone|p145r_2
 bone|145v||p145r_2
 bone|145v||p145r_2
 bone|145v||p145r_2
 bones|145v||p145r_2
 wood|145v||p145r_2
 clay|145v|Molding plants and flowers|p145v_1
 wax|145v|Molding plants and flowers|p145v_1
 good eau-de-vie|145v|Molding plants and flowers|p145v_1
 clay|145v|Flowers|p145v_2
 luted|145v|Flowers|p145v_2
 tin|145v|Flowers|p145v_2
 lead|145v|Flowers|p145v_2
 gold|145v|Flowers|p145v_2
 silver|145v|Flowers|p145v_2
 tin|145v|Flowers|p145v_2
 iron wire|146r||p145v_1
 wax|146r||p145v_1
 clay|146r||p145v_1
 sal ammoniac water|146r||p145v_1
 fountain water|146r||p145v_1
 crocum ferri|146r||p145v_1
 crocum|146r||p145v_1
 lute|146r||p145v_1
 fine tin|146r||p145v_1
 lead|146r||p145v_1
 water|146r||p145v_1
 iron wire|146r||p145v_1
 iron wire|146r||p145v_1
 ashes|146r||p145v_1
 wax|146r||p145v_1
 wax|146r||p145v_1
 iron|146r||p145v_1
 wax|146v|Molding turtles|p146v_1
 thick iron wire|146v|Molding turtles|p146v_1
 wax|146v|Molding turtles|p146v_1
 soft clay|146v|Molding turtles|p146v_1
 clay|146v|Molding turtles|p146v_1
 clay|146v|Molding turtles|p146v_1
 oiled|146v|Molding turtles|p146v_1
 eau-de-vie|146v|Molding turtles|p146v_1
 hot water|146v|Molding turtles|p146v_1
 clay|146v|Molding turtles|p146v_1
 cay|146v|Molding turtles|p146v_1
 clay|146v|Molding turtles|p146v_1
 wax|146v|Molding turtles|p146v_1
 wax|146v|Molding turtles|p146v_1
 iron|146v|Molding turtles|p146v_1
 melted wax|146v|Molding turtles|p146v_1
 melted wax|147r||p146v_1
 iron|147r||p146v_1
 wax|147r||p146v_1
 wax|147r||p146v_1
 oil|147r||p146v_1
 hot water|147r||p146v_1
 clay|147r||p146v_1
 water|147r||p146v_1
 wax|147r||p146v_1
 rather strong iron|147r||p146v_1
 melted wax|147r||p146v_1
 iron|147r||p146v_1
 copper|147v|+Cast of copper alloyed with ☾, which is like very base solder / ardc_147v_01 and old K and some Rc_147v_01 out of xii|p147v_1
 ☾|147v|+Cast of copper alloyed with ☾, which is like very base solder / ardc_147v_01 and old K and some Rc_147v_01 out of xii|p147v_1
 very base solder|147v|+Cast of copper alloyed with ☾, which is like very base solder / ardc_147v_01 and old K and some Rc_147v_01 out of xii|p147v_1
 old K|147v|+Cast of copper alloyed with ☾, which is like very base solder / ardc_147v_01 and old K and some Rc_147v_01 out of xii|p147v_1
 paper|147v|+Cast of copper alloyed with ☾, which is like very base solder / ardc_147v_01 and old K and some Rc_147v_01 out of xii|p147v_1
 silver|147v|+Cast of copper alloyed with ☾, which is like very base solder / ardc_147v_01 and old K and some Rc_147v_01 out of xii|p147v_1
 pure silver|147v|+Cast of copper alloyed with ☾, which is like very base solder / ardc_147v_01 and old K and some Rc_147v_01 out of xii|p147v_1
 ☾|147v|+Cast of copper alloyed with ☾, which is like very base solder / ardc_147v_01 and old K and some Rc_147v_01 out of xii|p147v_1
 Lute|147v|Lute|p147v_2
 latten|147v|Cast of latten|p147v_4
 latten|147v|Cast of latten|p147v_4
 sal ammoniac|147v|Cast of latten|p147v_4
 pulverized calamine, raw & pure|147v|Cast of latten|p147v_4
 paper|147v|Cast of latten|p147v_4
 raw tartar|147v|Cast of latten|p147v_4
 common salt|147v|Cast of latten|p147v_4
 clear water|147v|Cast of latten|p147v_4
 melted glass|147v|Cast of latten|p147v_4
 calamine|147v|Cast of latten|p147v_4
 soft latten of skillets|147v|Cast of latten|p147v_4
 calamine|147v|Cast of latten|p147v_4
 sour latten of candlesticks|147v|Cast of latten|p147v_4
 pin filings|147v|Cast of latten|p147v_4
 copper|148r||p147v_4
 silver|148r||p147v_4
