folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
121v,121v,p121v_1,casting,For casting in silver,,fingers;thumb;handful,,,,"silver;sand;plaster;reheated brick;reheated feather alum;sand;pure feather alum, reheated & pulverized;sal ammoniac;common water;thick sauce;thin mustard;eau-de-vie;crocum;metals;Alloyed silver is better for casting than the fine one;feather alum;Sal ammoniac;gold;silver;sand;water;water;sand;Latten;gold;silver",,"parts;parts;parts;part;parts;earthenware bowl, from which the peasants eat their soup;as much as you can take with 4 fingers and the thumb;small double handful",,mustard,,,peasants,,"earthenware bowl, from which the peasants eat their soup;mortar;spatula;paintbrush;table;mold;molds;bowl",,,,,,crocum,,
121v,121v,p121v_2,casting,Silver for casting,,,teston;sous,,,Silver;not fine silver but alloyed;solder;teston silver;alloyed silver;silver;earth;sandy earth;cloth waste which founders use to cast their cannons;good lute;iron wire;silver;silver;silver from the Capital;luting;gold;silver;earth;ashes;lute;iron wire,,denier,,,Capital,,founders;goldsmiths,,good lute;molds;iron wire;molds;luting;molds;molds;lute;iron wire,,cannons,,,,,,
122r,122r,p122r_1,casting,Arranging various animals,female lizards;snakes,,,,,wax;iron wire;wax;iron wire;wax,,,,,,,,,table;thick needle;tip of a hot iron wire;frame;mold;point of a penknife;iron wire,,,,,,,,
122r,122r,p122r_2,casting,Flower in the mouth of the snake,snake;snake,hand,,,,wax;<-iron-> wire;wax;sand,antidote,,,wormwood,,,,,end of a <-iron-> wire that is hot;hand;thread;needle,,,,,,,,
122v,122v,p122v_1,casting,Cleaning the bowl and the spoon with which one tempers the sand,,,,,,sand;sand;fresh sand,,,,,,,,,bowl;spoon;bowl;spatula;spoon;mold,,,,,,,,
122v,122v,p122v_2,casting,Molding hollow,Crayfish,,,,,Wax;tallow;wax;tallow;clay,,,,,,,,,mold;clay slab,,,,,,,,
122v,122v,p122v_3,casting,Molding medals and flat things,,,,,,paper;metal,,,,,,,,,,,,,,,,,
123r,123r,p123r_1,metal process, A means di far correr lotnegra,snakes,face;nose;mouth;eyes;mouth;face;eyes,sous,,shop,"otnegra;white arsenic;Orpiment;yellow arsenic;Aes ustum;fine copper filings;Antimony;Rock salt;Raw tartar;Sandiver;Saltpeter;Coarse common salt melted;Sublimate;Borax;Sal ammoniac;borax;lute;Lute;solder;solder;broken steel;arsenic;sublimate;orpiment;iron wire;lute;earth mixed with dung or founder’s earth that artillery founders use;pestled glass;lute;lute;saltpeter;good buttered toast;butter;zedoary;gold coins;silver;metallic;melted silver;silver;fine tin;copper;looking-glass tin;lead;tin;looking-glass tin;lead;tin;silver;salts, sublimated & mixed together;metallic;filings;æs ustum;antimony;salts;silver;metallic grain;melted metal;luted;metallic;solder;latten;solder;solder","fume of it is dangerous;fumes, which are dangerous, could hurt you",ounces;℥;ounces;℥;ounces;℥;℥;℥;℥;℥;℥;half;℥;half;℥;half;℥;half;℥;as much as borax;℥;hours;denier;sous;fourth or fifth part;in the early morning;hours;natural day;morning;for a whole day,,zedoary,,,Goldsmiths;goldsmiths;those who work in plate and large wares;artillery founders;rustic;shop boy;silversmiths,,lute;crucible;Lute;crucible;pestle;good crucible;crucible;good tile;iron wire;lute;pestled;lute;crucible;lute;crucible;four à vent;crucible;cloth;crucible;crucible;crucible;pestled;crucible;luted;furnace,hours;in the early morning;hours;natural day;morning;long time;for a whole day,artillery,,,di far correr lotnegra,Aes ustum;æs ustum,crucible;crucible;crucible;crucible;crucible;crucible;crucible;crucible;crucible;crucible,cakes;cake
124r,124r,p124r_1,casting,Animals with hair and fragile and very thin flowers,butterflies,,,,wind,wheat oil;oil;wheat oil,,,,wheat;wheat;dandelion;pappus;burdock,,,,,,,,,,,,,
124r,124r,p124r_2,casting,Noyaulx for molding hollow,,,,,,gold;silver,,,,,,,,,mold,,,,,,,,
124r,124r,p124r_3,casting,Spider’s web,Spider;spider,,,,in the fields,"water;quarton;paper;quarton;tin, very little alloyed with lead",,,,,,,,,quarton;point;edge of paper,,,,,,,,
124r,124r,p124r_4,casting,Fine gold ,,,,,,Fine gold;gold;aquafortis;antimony;verdet;gold;lead,,,,,,,,,hammer,,,,,,,,
124v,124v,p124v_1,painting;metal process,Rouge clair  enamel,,,écu;pistolet,,,Rouge clair;enamel;Fine gold;gold;Gold;enamel;enamels;rouge clair;arene;grains of gold;gold,,,,,,,goldsmiths,,,,,,,,,,
124v,124v,p124v_2,casting,Casting in gold,,,,,,gold;gold;wax;earth;earth;gold;Fine gold;alloyed gold;Gold;silver;water;Gold;lead;gold;emerald;gold;lead;tin;lime,,quarter heavier than,,,,,goldsmiths,,Molds;pot;reverberatory furnace;molds;pot;pot;mold;pot;forge,,,,,,,,
124v,124v,p124v_3,casting,A means to make the gate for small female lizards,lizards;snake,,,,,metal;wax;iron wire;iron wire;wax;sand of the second cast;wax;wax;wax;metal;wax;metal,,thickness of a knife,,,,,,,hot iron wire;end of the hot iron wire;mold;knife;mold,,,,,,,,
125r,125r,p125r_1,casting,Plaster,,,,,rain;on the houses,"Plaster;wax;plaster;stone;Transparent grey plaster is not strong, but the one that, being tempered, is white;plaster;sand of noyau;plaster;oil;water;hot water;cold water;hot water;Cold water;plaster;water;plaster",,,,,Germany,,,,mold;plaster molds,longer,,,,,,,
125r,125r,p125r_2,arms and armor;casting,Scimitars,,,,,,ore;iron;steel;steel;ore;sand;iron;melted iron;soft iron;steel;sand,,,,,Damascus;Hungary;Turks,,workers,,,,Scimitars;scimitar;scimitars;scimitar,,,,,,
125r,125r,p125r_3,tricks and sleight of hand,Hearing from afar,,ear,,,,,,,,,,,,Hearing;hear,,at night or at a silent time,,,,,,,
125v,125v,p125v_1,casting,Vipers and snakes,Vipers;snakes;viper;snake;horned asp;pig;dog;snakes;snakes,,,,,,,,,,,,,,,,,,,,,,
125v,125v,p125v_2,casting,Molding turtles,turtles;snakes,,,,,plaster;sugar,,,,,,,,,,,,,,,,,
125v,125v,p125v_3,casting,Plaster for casting of wax,,,,,,Plaster;wax;wax;plaster;hot water;metal;wax;wax;wax;wax;Alabaster;plaster,,,,,,,,,plaster mold;mold;mold,,,,,,,,
126r,126r,p126r_1,casting,Molding fruits and animals in sugar,,,,,,sugar;Sugar;well-clarified sugar;plaster;sugar;water;syrup;sugar;sugar;sugar;wax;earth;melted wax;clay;sugar;metal;sugar;sugar;plaster;cold water;sugar;syrup;sugar melted in water;sugar;wheat starch;almond,,night;day;one day and one night,,grapes;grapes;grapes;grapes;chauchés;sauvignons;grapes;grape;bunch;grapes;grapes;grapes;bunch;grapes;pears;apples;almond,,,,,plaster mold;molds;slab;clay slab;molds;mold;mold;mold;mold;almond,night;day;season;day;night,,,,,,,
126v,126v,p126v_1,casting,Crocum ferri,,,sous,,,Crocum ferri;iron rust;filings;vinegar;rust;filings;hot ashes;filings;vinegar;vinegar;crocum;gold;gold,,ounce;sous,,,,,,,molds;mold,,,,,,Crocum ferri;crocum,,
126v,126v,p126v_2,casting,Plaster,,,,,,Plaster;wood;wood;very hot wax;wood;plaster;very hot wax;plaster;plaster,,,,,,,,,molds;molds;press,,,,,,,,
126v,126v,p126v_3,casting,Plants difficult to burn in the noyau,,,,,,wood;charcoal;ashes;earth;tempered sand;clear sand;charcoal;melted wax;wax;oil of petrol or sulfur;turpentine;oil of brick;aquafortis;eau-de-vie;sands;crocum;iron scales;iron;emery;Animal bones;ashes;flesh;bones;quicksilver;charcoal,,days,,asparagus;thyme;rosemary;Asparagus;thyme,,,,,mold;mold;molds;circle of earth;mold;mold,days,,,,,crocum,,
127r,127r,p127r_1,casting,Molds of plaster for wax,,,,,,plaster;wax;plaster;plaster;wax;wax,,,,,,,,,Molds of plaster;mold of plaster;mold;molds,,,,,,,,
127v,127v,p127v_1,casting,Founders’ earth,,,,,,Founders’ earth;terre bolvene;dung;cloth waste;lute;silver;luted;bones;ashes;plaster ;eau-de-vie;tempered sand;brick;alum;brick;brick;crucible bottoms;lute;aforesaid founders’ earth;sifted ash;luting;silver;luting;lute;earth that locksmiths use to braze or solder;sandy clay earth;clay;sand;luting;earth;earth;Iron wire;Lute;crocum;earth;Lute;silver;good embers;earth;lute,,,,,,,Founders;founders;locksmiths,,lute;molds;luted;clamps;crucible;mold;clamps;lute;luting;molds;luting;lute;mold;sieved;luting;molds;Iron wire;Lute;molds;mold;molds;Lute;mold;molds;molds;forge;molds;forge;reverberatory furnace;mold;lute;forge;blast-pipe;bellows,,,,,,crocum,crucible,
128r,128r,p128r_1,casting,Casting in silver and gold,,fingers,real,,,"silver;gold;metals;small stone of pulverized borax;gold;silver;gold;molds;metal;silver;Gold and silver, melted;gold;tin;crocum;feather alum;ground borax;silver;silver;silver;arsenic & two times as much of raw tartar, coarsely pulverized;silver;metal;steel;melted silver;alloyed silver;metal;Silver;adulterated silver;arsenic;orpiment;quicksilver;lean delicate sand;sand;sand;ash;sand;well-melted silver;silver;silver ;silver finer than the alloy from the capital and like that of the real;borax ;melted silver;ash;silver;gold;charcoals",,good fingers;size of a hazelnut;two times as much;size of a pea,,hazelnut;pea,capital ,,goldsmiths,,crucible;crucible;metals;mold;pincers;forge;crucible;forge;crucible;bellows;crucible;pincers;blast-pipe;bellow;bellows;crucible;blast-pipe;forge;crucible;molds;furnace;mold;furnace;terrine;vessel;pincers;well-reddened mold;mold ;mold ;forge;mold;pincers;small bellows,,,,,,crocum,crucible;crucible;crucible;crucible;crucible;crucible,
128v,128v,p128v_1,casting;metal process,Whitening of cast silver,little lizard;lizard;lizard,,teston,,,silver;base silver;common bullitoyre;tartar;common salt;alloy of teston;bullitoyre;tartar;common salt;common water;tartar;paper;smoked;tartar;water of bullitoyre;salt;tartar;charcoals;bullitoyre;clear water;bullitoyre;silver;water;tartar;copper;silver;gold;water of tartar;burned tartar;base silver,,nearly as much of one as the other,,,Germans;France;German,,goldsmiths,,forge;brushed;paper;forge;brushed;crucible;vessel,,,,,,,crucible,
129r,129r,p129r_1,painting,Painting plants of metal,,,,,,metal;gum;oil;glair;peelings of the fig tree,,,,fig tree,,,,,,long time,,,,,,,
129r,129r,p129r_2,painting,For wormseed,,,,,,vert de terre;white lead;ceruse;massicot;stil de grain yellow;cendré of azure,,,,wormseed,,,,,,,,,,,,,
129r,129r,p129r_3,casting,Viper color,Viper color;snake;lizard,,,,,verdigris;good vinegar;lead;tin;sulfur;coarse linen;metalline;tin;silver,,half an arquebus ball,,,,,,,coarse linen,,arquebus,,,,,,
129r,129r,p129r_4,casting,Molded roses,flies,,,,,wheat oil;tempered sand,,,,roses;wheat;pansies;caper plant,,,,,,,,,,,,,
129v,129v,p129v_1,preserving;decorative;casting,Animals dried in the oven for a long time,snakes;birds,,,,sun in June,earth; iron ;bread;sand;bread,,"after the bread has been taken out;hot enough, like when one takes out the bread;a day & a night;like the heat of the sun in June",,,,,,smelly,oven;slab of earth;points of iron wire;oven;oven;oven;paintbrush;brush,a long time;a day & a night;June,,,,,,,
129v,129v,p129v_2,casting,Animals cast in copper,,,,,,copper;copper;gemstone foils,,,,,,,,,,,,,,,,,
129v,129v,p129v_3,casting,Advice concerning the gate,,fingers,,,,metal;metal,,,,,,,,,,,,,,,,,
129v,129v,p129v_4,casting,Spider molded on a leaf,Spider;snakes;fish;spider;spider;spider;spider;spider;spider,urine,,,,"wheat oil;vinegar;urine;eau-de-vie;sieved fine hair of cloth waste;fish glue;vinegar;verdet;sulfur;clay;iron or latten wire;latten wire;melted wax;iron wire;sand;wax, melted;iron wire;wax;wax;earth;tempered sand",,,,wheat;vine;vine;vine;vine,,,,,candle;sieved;clay slab;point of iron or latten wire;small points of latten wire;point of a hot iron wire;small pincers;hot iron wire;penknife;circle of earth;mold,,,,,,,,
130r,130r,p130r_1,preserving;decorative,Animals dried in an oven,cats;rats,,,,in the sun,iron points;iron wire;lead;wax;well-gummed ink;clay,,,,,,,,,oven;small stick;iron points;small board;small rings of iron wire;oven;balls of lead or of wax,,,,,,,,
130r,130r,p130r_2,tricks and sleight of hand,"For reddening live crayfish, which will seem boiled",crayfish,,,,,quite good vinegar;eau-de-vie,,,,,,,,,,,,,,,,,
130r,130r,p130r_3,casting,Molding a single spider,spider;spider;spiders,,,,,clay;wheat oil;sand,,,,vine;wheat,,,,,clay slab,,,,,,,,
130r,130r,p130r_4,casting,Molding a single vine leaf,,,,,,latten wire;clay,,,,vine,,,,,points of fine <-iron-> latten wire;clay slab;mold;mold,,,,,,,,
130v,130v,p130v_1,casting,Molding a crab,crab;snakes;crayfish,,,,,ash;quicksilver;sand,,,,,,,,,mold;penknife;mold;mold,,,,,,,,
130v,130v,p130v_2,casting,Stag beetle,Stag beetle;crab;crab,,,,,,,,,,,,,,,,,,,,,,
130v,130v,p130v_3,casting,For molding thin,,,,,,wax;paste;butter;paste;oil;butter,,,,,,,,,mold;mold;mold;mold,,,,,,,,
131r,131r,p131r_1,casting,Plants that are awkward to burn in the mold,,,,,,Plants;charcoal,,,,,,,,,mold,,,,,,,,
131r,131r,p131r_2,casting,Letters and molded paper,,,,,,paper;ink;eau-de-vie;paper;clay;eau-de-vie,,,,,,,,,clay slab,,,,,,,,
131r,131r,p131r_3,decorative,"For adorning beds, mirrors, and suchlike",,,,,beds;mirrors,slate;mixed tin;gild;gold leaf;rubies;orpiment,,,,,,,,,quite flat slate,,,,,,,,
131r,131r,p131r_4,household and daily life,For teaching a dogei well,dog,armpit,,,,cheese,,,,,,,master;apprentice,,,,,,,,,,
131r,131r,p131r_5,casting,Molded waxes,,,,,,waxes;wax;ceruse;lead white;gold;silver;waxes;metals;wax;ceruse;White wax;filth;gold;silver;wax;melted sulfur;candle smoke;sulfur;wax;wax;ceruse;boiling water;wax;wax,,,,,,,,,mold;mold;mold;candle;mold;mold,,,,,,Nota,,
131v,131v,p131v_1,casting,When the cast of tin or lead becomes porous,large lizard,finger;finger,,,,tin;lead;wax;silver;gold;lead;tin;lead;tin;lead;tin;lead;tin;lead;tin;rosin; looking-glass tin;lead;tin;tin;lead;solder;Tin;metal;gold;silver;Lead;water;gold;silver;tin;water;tin;lead,,℥;lb;lb;℥,,,,,,"of such a heat that you can handle it without harm, or that you can keep your finger in the gate without burning yourself;cries loudly;cries weakly;so hot that you can bear putting your finger in it",mold;finger;burin;file;chaple;mold;finger;mold;mold,long time,,,,,,,
132r,132r,p132r_1,casting,Mold made in two casts,,,,,,lutes;earth;smokes;sand;tin;silver;gold;plaster;lute,,,,,,,,,Mold;clamps;lutes;mold;mold;presses;terrine;mold;mold;clamp;lute,,,,,,,,
132r,132r,p132r_2,casting,Method for reheating the molds,,fingers,,,wind from a window,charcoals;charcoals;charcoal;charcoals;smoke;charcoals;charcoals;charcoals;luted;charcoals,,fingers,,,,,,,molds;forge;mold;mold;molds;grate;oven;mold;little bellows;molds;luted;mold,,,,,,,,
132v,132v,p132v_1,casting,Common sand from the mine,,,,,mine,Common sand from the mine,,,,,,,,,frame,,,,,,,,
132v,132v,p132v_2,casting,Crocum ferri,very small female lizard,fingernail;fingers;fingernail,,,,Crocum ferri;vinegar;porphyry;very good vinegar;crocum;sand;feather alum;sand;crocum ferri;crocum;gold;silver;filings of needles;distilled vinegar;silver;steel fillings & needles,,days;several times each day;half,,,,,,"perceived on the fingernail;when scraping it with the fingernail, it is a sign that the crocum is good, very fine, & well prepared;you will find it so, by scraping a little harder than the other where there is none",porphyry;fingernail;pot;four à vent;fingers;mold;mold;fingernail;mold;mold;molds;molds;molds;molds,days;day,,,,,Crocum ferri;crocum;crocum ferri;crocum,,
132v,132v,p132v_3,casting,Gilding animals cast in silver,,,,,,Gilding;silver;gild ;amalgam;silver,,,,,,,,,,,,,,,,,
133r,133r,p133r_1,wax process,Hard wax for imprinting seals,,,,,,Hard wax;white wax;very finely ground ceruse or lead white;turpentine;wax,,drop,,,,,goldsmiths,,,,,,,,,,
133r,133r,p133r_2,casting,Feet of smalls female lizards for gold and silver,small<-s-> female lizards;large lizards,,,,,gold;silver;wax;wax;wax,,,,,,,,,mold,,,,,,,,
133r,133r,p133r_3,casting,Marks from the points of iron wire which are found on the head of the animal,,,,,,iron wire;sand;iron;hard wax;mastic;cement;iron,,,,,,,,,points of iron wire;points;point;iron point;hot iron wire,,,,,,,,
133r,133r,p133r_4,casting,Clamps and broken mold,,,,,,quicksilver;Lute;silver;gold;lute;sand;lute,,,,,,,,,Clamps;mold;clamps;mold;molds;mold;clamps;Lute;lute;mold;clamps;lute,,,,,,,,
133v,133v,p133v_1,casting,Bubbles and little holes which are found in the mold,,,,,,sand;sand,,,,,,,,,mold;small molds;bowl;bowl,,,,,,,,
133v,133v,p133v_2,casting,Thing that does not release,small female lizards,,,,,blood;filth;mold;wax,,,,,,,,,mold;chisels;mold;mold;oven;mold;pin;little points;pin,,,,,,,,
133v,133v,p133v_3,casting,Various animals entwined,snake;lizard;snake;frog;wall lizard;wall lizard;snake;snake;wall lizard;lizard;lizard;small wall lizard,,,,,earth;wax;iron wire;wax;earthen;tempered sand;clay;wax;wax;wax;metal;wax;wetted sand,,,,,,,,,mold;oven;hot iron wire;earthen slab;points;clay slab;slabs of wax;mold;mold;mold,,,,,,,,wall lizard
134r,134r,p134r_1,casting,For mending a pierced mold,,,,,,iron;melted wax;tempered sand;lute,,,,,,,,,mold;iron points;mold;lute,,,,,,,,
134r,134r,p134r_2,casting,Sand of crocum,,,,,,Sand of crocum;crocum;crocum ferri;silver;gold;gold;silver;lead;tin;crocum,,,,,,,,,molds,,,,,,crocum;crocum ferri;crocum,,
134v,134v,p134v_1,metal process;casting,For making ☀ run,spider,,,,,☀;Verdigris;sal ammoniac;borax;saltpeter;borax;saltpeter;verdigris;marble;good strong vinegar;couleur;verdet;oil;metals,,as much of one as the other;as much of one as the other;half of the others,,,,,,,marble;forge,,,,,,,,
134v,134v,p134v_2,casting,  For casting of gold in large works,,,,,,gold;iron wire;gold;lead;tin,,,,,,,,,clamp;molds;iron wire;little bands;forge,,,,,,,,
134v,134v,p134v_3,casting,Secret for soldering gold and silver in small works,,phlegm ;white thick <-which-> saliva that is found on the teeth;teeth;saliva,,,,soldering;gold;silver;gold;silver;wax;soldering gold;phlegm ;white thick <-which-> saliva that is found on the teeth;solder;little spangle of gold;fat earth;saliva;solder;borax;Boiled water of quince seed,,,,quince,,,,,burin,,,,,,,,
135r,135r,p135r_1,casting;metal process,Couleur for gold or mixture,,,,,,Couleur;gold;Verdigris;sal ammoniac;saltpeter;Saltpeter;couleur;brittle melted gold;gold,,as much of one as the other;as much as a bean,,bean,,,,,,,,,,,,,
135r,135r,p135r_2,casting,Gate,      lizards,fingers,,,moist & humid place,metal;metal;wax,,fingers,,,,,,,big molds;mold;mold,,,,,,,      lizards,
135r,135r,p135r_3,casting,Vine leaf and small frog,small frog;spider;frog,,,,,clay;clay;clay;wax;stil de grain yellow;verd de terre,,,,Vine;vine;vine;vine,,,,,clay slab;small points;small bristle brushes,in autumn,,,,,,,
135v,135v,p135v_1,casting,Casting in ☼,,fingers,,,wind,☼;borax;☼;charcoals;charcoal;gold;gold;borax;charcoal;gold;smokes;borax;couleur;verdet;saltpeter;sal ammoniac;borax;gold;gold;lute;sand;crocum;gold;sand;gold;couleur;sand;water;gold;tin;gold;sand;gold;aquafortis;latten;sol;latten;gold;latten;plate of lead;gold;aquafortis,,fingers;size of a bean;lb,,bean,,,boy,,crucible;crucible;forge;bellows;forge;crucible;small bellows;crucible;small bellows;crucible;small bellows;lute;mold;forge;four à vent;mold;small & large bellows;mold;moulets;crucible;little bellows;crucible;fourneau à vent;fournaise,,,,,,crocum;sol,crucible;crucible;crucible;crucible;crucible;crucible,
136r,136r,p136r_1,casting;metal process,DEsm Enamelling thin works,,,,,,Enamelling;gold leaf;enamel,,,,,,,Goldsmiths,,brim of a burin,,,,,,,,
136v,136v,p136v_1,casting,For casting in latten,pig,,,,the air;the wind;wind,latten;latten from skillets in which one makes the mush for little children;German tokens;calamine;calamine;remelted latten;fresh calamine;latten;latten;calamine;latten;gold;silver;copper;metal;calamine;German tokens;nails of rosette;soft latten;calamine;strong yellow latten;latten;latten;water;melted silver;steel;calamine;Sal ammoniac;latten;Huile tingente;sand;gold;yellowed latten;prepared tutty;metal;calamine smoke;silver;glass;very yellow latten;calamine;red copper;fresh calamine;prepared tutty;charcoal;copper;iron;cloth;pig fat;saltpeter;sal ammoniac,"keep  away from the fumes, for they are pernicious",,,,German;German,,little children;Casters,,mold;frame;mold;stalk of copper or iron;cloth soaked in pig fat mixed with saltpeter or sal ammoniac,,,,,,,,
137r,137r,p137r_1,casting,For casting in red copper,,,,,wind,red copper;Pure red copper from a cauldron or other thin works;sal ammoniac;fine tin;copper;gold;silver;latten;metal;steel;melted silver;Red copper;latten;strong smoke;paper;melted silver;sand;Copper;latten;metal;red copper;water,,,,,,,,,cauldron;mold;tows;mold;brazier;pot;vessel,,,,,,,,
137r,137r,p137r_2,casting;metal process,Huile tingente to make metals run,,,,,cold & humidity;spring of water in the pit,Huile tingente;metals;☿ sublimate of Venice;arsenic sublimate;aes ustum;sal ammoniac;glass;hot ash;wax;melted metal;tartar;filth;nastiness;sal ammoniac;tin;water,,pea;pea;pea,,,Venice,,Founders of large casts for statues;founder,,glass bottle,,,,,,aes ustum,,spring
137r,137r,p137r_3,casting,Clamps,,,,,,iron wire,,,,,,,,,Clamps;flat pincers of iron wire;anvil;molds,,,,,,,,
137v,137v,p137v_1,casting,Tempering sand for molds of flat medals,lizards;crayfish;crabs;stag beetles;crayfish,finger,,,,sand for molds of flat medals;wax;metal;oiled;eau-de-vie;water;oiled;water;sand;cold water;oiled;oiled;Hot water;sand;sand;water;oil;eau-de-vie;hot water;oil;oil;sand;oiled;oil;gold;silver;copper;latten;thick bones;☿;☿;scrapings of the mold;brick;pieces of the molds that have been used;lutes;gold;silver;sal  ammoniac water;spat from Germany;excellent sand;metals;sulfured black wax;brick;wood;water;sand;fresh clay;grey earth;The yellow;sand;sand;sand;wax;sand;water;sand;water,,of such heat that you cannot hold your finger there without feeling strong heat,,,Germany,,,of such heat that you cannot hold your finger there without feeling strong heat,molds;paintbrush;mold;mold;finger;mold;mold;mold;mold;mold;mold;point of a knife;mold;knife points;point of an oiled paintbrush;molds;molds;mold;molds;clamps;lutes;frames;molds;molds;fresh clay slab;mold;table;mold;mold,,,spat,,,,,
138v,138v,p138v_1,casting,Talcum mixed in the molds,,,,,,Talcum;oil;steel;sand,,,,,,,,,molds;steel mortar;pestle;file,,,,,,,,
138v,138v,p138v_2,casting,Gold cast very thinly,lizards,,,,,Gold;solder;gold;cloth;cloth;Fine gold;wheat oil;alloyed gold;soldered,,,,pansy;wheat,,,goldsmiths,,forge;cloth;things that withstand the fire;hammer;cloth,,,,,,,,
138v,138v,p138v_3,stones,Counterfeit diamonds put in a work,,,,,daylight,Counterfeit diamonds put in a work;black modeling wax;waxed;wheat oil;lamp smoke;false stones;stone;wax;steel;stone;stone,,,,wheat,,,,,steel point;small finishing hammer,,,,,,,,
139r,139r,p139r_1,casting,Casting of lead and tin,lizards;snakes;cuttlefish;cuttlefish,finger,,,in a very flat & level place,lead;tin;fine tin;new & unadulterated lead;sand;metals;lead;lead;charcoal;rosin;filth;filth;looking-glass tin;lead;melted metal;lead;metal;fine tin;fine tin;new lead;sheets of copper;sand;ash;metal;cuttlefish bone;cuttlefish bone;paper;paper;paper;written paper;lead;tin;cartons;gold;hard wood;lead;carton;carton;earth;plates of copper;iron;wood;fer blanc;sheets of copper;iron,,"℥;lb;as much as a bean;lb;℥;lb;Test for this effect with paper. If it turns the paper red, it is enough, it is good to cast, but if it blackens the paper, it is too hot.;half;half",,bean,,,,until you can hold your finger without harm in the hole of the gate,mold;finger;crucible;bellows;crucible;scraper;little bellows;mold;mold;press;mold;mold;molds;very tight presses;sheets of copper; large molds;square pots;cuttlefish bone;cuttlefish bone;paper;paper;paper;cartons;point of gold or hard wood;carton;adapted carton;molds;sheets of copper;stirrup or screw of iron,,,,,,,crucible;crucible,
139v,139v,p139v_1,casting;wax process,Cast of wax to represent an animal that one has not got,snakes;snake,finger,,,,"wax;white wax;filth;charcoal, pestled & finely passed through a linen or a sleeve;linen;charcoal;wax;wax;melted wax;sulfur;water;wax;the aforesaid pulverized charcoal;wax;smokes;wax;pulverized charcoal;wax;black sulfured wax;wax;sulfur;filth;pestled charcoal;ash;wax;modeling wax;white plaster;sands;cold water;water so hot;water;hot water;wax;wax;wax;sugar;wax;copper;sulfur;slate;sulfur;wax;wax;varnish;hot water;wax;silver;silver;copper;aquafortis;tempered sand;copper;gold;silver",,"half;bowl with handles;as a large walnut;when it no longer smokes;when it makes large tracts <-se-> <-re->pulling at the edges, & motionless & close <-to-> one to the other;a good hour;at least as long in water so hot, that, at the beginning, you cannot hold your finger in it;night;day",,walnut,,,,"your wax has passed its high heat, which you will recognize when it no longer smokes;water so hot, that, at the beginning, you cannot hold your finger in it;This wax is very soft & amiable & pliant as copper, and it is so strong because of the sulfur, which renders it meltable much before the other, such that you can prove it on a hot slate",pestled;linen;sleeve;bowl with handles;little stick;mold;little stick;mold;mold à noyau;pestled;mold;candle;mold;mold which is of white plaster;finger;mold;mold;mold;molds;mold;hot slate;candle;hot penknife;stick;taper,well in advance;a good hour;at least as long;night;day,,,,,,,
140v,140v,p140v_1,casting,For casting in sulfur,,,,,,sulfur;sulfur;bread pith;sulfur;melted wax,,,,,,,,,brazier,,,,,,,,
140v,140v,p140v_2,casting,Molding and shrinking a large figure,,,,,,bread pith;bread pith;Bread;sulfur;bread,,,,,,,,,oven;oven,,,,,,,,
140v,140v,p140v_3,casting,Casting of lead and tin in plaster,,finger,,,,plaster;brick;oiled;eau-de-vie;tin;lead;tin;lead;lead;tin;lead;tin;plaster;plaster;brick;plaster;brick;feather alum;crocum;plaster;brick,,cool in such a way that I could hold my finger to it without burning myself;℥;deniers;℥;deniers,,,,,,I could hold my finger to it without burning myself,mold;mold;finger;mold;mold;mold;molds,,,,,,crocum,,
141r,141r,p141r_1,casting,Molding a crayfish,crayfish;crayfish;crayfish;crayfish;Stag beetles;crayfish;crabs;crayfish;crayfish;turtles;crayfish;crayfish;crayfish;crayfish;crayfish;crayfish;crayfish;crayfish;crayfish;crab;crayfish;crayfish;crayfish;crayfish;crayfish;crayfish,,,,in the sun,goldsmith’s cement;sand;iron;olive wheat oil;eau-de-vie;white bones;☿;oil;wine;salt;vermilion;lake;vermilion;yellow ocher;white;yellow potter’s earth;clay;iron wire;clay;clay;clay;clay;wax;iron;wax;iron wire;eau-de-vie;sand;melted wax;vermilion;lake;vermilion;white of ceruse;yellow ocher;whitened latten wire;solder;sand;wax;wax;iron wire;oil;water;oil;eau-de-vie;luted;crocum;sand;crocum;wax;wax;thick thread;wax;metal;wax,,,,olive;wheat,,,goldsmith;potter,,hot iron;mold;mold;molds;mold;slab of yellow potter’s earth;clay slab;iron wire point;little hot iron;iron wire point;mold;mold;mold;point of a knife;burin; appropriate thing;little brushes;iron wire point;mold;mold;clamps;mold;mold;luted;mold;mold;penknives;files;little chaples;burins,,,,,,crocum;crocum,,
142v,142v,p142v_1,casting,Molding grasshoppers and things too thin,grasshoppers;butterfly;grasshopper,,,,,written paper;paper;melted butter;melted butter;butter;wheat oil;Wax;butter;paper;common carton;letter;gum;clay;wetted sand for noyau;letter;cinnabar;oil;oiled paper;charcoals,,,,pansy;wheat,,,,,clay slab;molds;forge;molds;mold,,,,,,,,
142v,142v,p142v_2,casting,Molds,toad,,,,humid or enclosed place,,,,,,,,,,Molds;mold;molds;mold,,,,,,,,
